代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
019738,宝盈纳斯达克100指数发起(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019739,宝盈纳斯达克100指数发起(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016056,博时纳斯达克100ETF发起式联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016058,博时纳斯达克100ETF发起式联接(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳指,人民币,,,,,未抓到公开限额
000834,大成纳斯达克100ETF联接(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
008971,大成纳斯达克100ETF联接(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
000055,广发纳斯达克100ETF联接美元(QDII)A,纳指,美元,280美元,广发基金官网直销限额接口,,,一致/单源
006480,广发纳斯达克100ETF联接美元(QDII)C,纳指,美元,280美元,广发基金官网直销限额接口,,,一致/单源
270042,广发纳斯达克100ETF联接人民币(QDII)A,纳指,人民币,10元,广发基金官网直销限额接口,10.00元,10元,一致/单源
006479,广发纳斯达克100ETF联接人民币(QDII)C,纳指,人民币,10元,广发基金官网直销限额接口,10.00元,10元,一致/单源
021778,广发纳指100ETF联接(QDII)人民币F,纳指,人民币,"3,000元",广发基金官网直销限额接口,,,一致/单源
160213,国泰纳斯达克100指数,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
040046,华安纳斯达克100ETF联接(QDII)A,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
040047,华安纳斯达克100ETF联接(QDII)A美元现钞,纳指,美元,,,,,未抓到公开限额
040048,华安纳斯达克100ETF联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
014978,华安纳斯达克100ETF联接(QDII)C,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
017436,华宝纳斯达克精选股票发起式(QDII)A,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017437,华宝纳斯达克精选股票发起式(QDII)C,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,纳指,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,纳指,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016535,嘉实纳斯达克100ETF发起联接(QDII)C美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳指,人民币,,,,,未抓到公开限额
012751,建信纳斯达克100指数(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
539001,建信纳斯达克100指数(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
012753,建信纳斯达克100指数(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
012752,建信纳斯达克100指数(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
023422,建信纳斯达克100指数(QDII)D人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017093,景顺长城纳斯达克科技ETF联接(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019174,摩根纳斯达克100指数(QDII)美元现汇A,纳指,美元,,,,,未抓到公开限额
019175,摩根纳斯达克100指数(QDII)美元现汇C,纳指,美元,,,,,未抓到公开限额
019172,摩根纳斯达克100指数(QDII)人民币A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019173,摩根纳斯达克100指数(QDII)人民币C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
159513,纳斯达克100ETF大成,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159659,纳斯达克100ETF招商,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159632,纳斯达克ETF华安,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513300,纳斯达克ETF华夏,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513390,纳指100ETF博时,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159509,纳指科技ETF景顺,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513290,纳指生物科技ETF汇添富,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513870,纳指ETF富国,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159941,纳指ETF广发,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513100,纳指ETF国泰,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513110,纳指ETF华泰柏瑞,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159660,纳指ETF汇添富,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159501,纳指ETF嘉实,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159696,纳指ETF易方达,纳指,人民币,场内交易,天天基金F10购买信息,,,一致/单源
016452,南方纳斯达克100指数发起(QDII)A,纳指,人民币,200元,天天基金F10基本概况实时交易状态,200.00元,200元,一致/单源
016453,南方纳斯达克100指数发起(QDII)C,纳指,人民币,200元,天天基金F10基本概况实时交易状态,200.00元,200元,一致/单源
021000,南方纳斯达克100指数发起(QDII)I,纳指,人民币,,,,,未抓到公开限额
018043,天弘纳斯达克100指数发起(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018044,天弘纳斯达克100指数发起(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
022525,天弘纳斯达克100指数发起(QDII)D,纳指,人民币,,,,,未抓到公开限额
019441,万家纳斯达克100指数发起式(QDII)A,纳指,人民币,50元,天天基金F10基本概况实时交易状态,50.00元,50元,一致/单源
019442,万家纳斯达克100指数发起式(QDII)C,纳指,人民币,50元,天天基金F10基本概况实时交易状态,50.00元,50元,一致/单源
003722,易方达纳斯达克100ETF联接(QDII-LOF)A(美元现汇),纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
012871,易方达纳斯达克100ETF联接(QDII-LOF)C(美元现汇),纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
019547,招商纳斯达克100ETF发起式联接(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019548,招商纳斯达克100ETF发起式联接(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
513500,标普500ETF博时,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159612,标普500ETF国泰,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159655,标普500ETF华夏,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
513650,标普500ETF南方,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159502,标普生物科技ETF嘉实,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
159529,标普消费ETF景顺,标普,人民币,场内交易,天天基金F10购买信息,,,一致/单源
013425,博时标普500ETF联接美元汇(QDII)A,标普,美元,,,,,未抓到公开限额
013499,博时标普500ETF联接美元汇(QDII)C,标普,美元,,,,,未抓到公开限额
050025,博时标普500ETF联接A,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
006075,博时标普500ETF联接C,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018738,博时标普500ETF联接E(人民币),标普,人民币,,,,,未抓到公开限额
013404,大成标普500等权重指数(QDII)A美元,标普,美元,,,,,未抓到公开限额
096001,大成标普500等权重指数(QDII)A人民币,标普,人民币,50元,天天基金F10基本概况实时交易状态,50.00元,50元,一致/单源
015545,大成标普500等权重指数(QDII)C美元,标普,美元,,,,,未抓到公开限额
008401,大成标普500等权重指数(QDII)C人民币,标普,人民币,50元,天天基金F10基本概况实时交易状态,50.00元,50元,一致/单源
017028,国泰标普500ETF发起联接(QDII)A人民币,标普,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
017030,国泰标普500ETF发起联接(QDII)C人民币,标普,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
002423,华宝标普美国消费美元,标普,美元,,,,,未抓到公开限额
162415,华宝标普美国消费人民币A,标普,人民币,3000元,天天基金F10基本概况实时交易状态,3000.00元,3000元,一致/单源
009975,华宝标普美国消费人民币C,标普,人民币,3000元,天天基金F10基本概况实时交易状态,3000.00元,3000元,一致/单源
018066,华夏标普500ETF发起式联接(QDII)A(美元),标普,美元,,,,,未抓到公开限额
018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018065,华夏标普500ETF发起式联接(QDII)C,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017642,摩根标普500指数(QDII)美钞,标普,美元,,,,,未抓到公开限额
017643,摩根标普500指数(QDII)美汇,标普,人民币,,,,,未抓到公开限额
017641,摩根标普500指数(QDII)人民币A,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019305,摩根标普500指数(QDII)人民币C,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
007721,天弘标普500发起(QDII-FOF)A,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
007722,天弘标普500发起(QDII-FOF)C,标普,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
022523,天弘标普500发起(QDII-FOF)D,标普,人民币,,,,,未抓到公开限额
003718,易方达标普500指数美元汇A,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012861,易方达标普500指数美元汇C,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
161125,易方达标普500指数人民币A,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
012860,易方达标普500指数人民币C,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
003720,易方达标普生物科技美元汇A,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012867,易方达标普生物科技美元汇C,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
161127,易方达标普生物科技人民币A,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
012866,易方达标普生物科技人民币C,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
000593,易方达标普消费品指数美元现汇A,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
118002,易方达标普消费品指数A,标普,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
005676,易方达标普消费品指数C,标普,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
012869,易方达标普信息科技指数(QDII-LOF)C(美元现汇),标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012868,易方达标普信息科技指数(QDII-LOF)C(人民币),标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
003719,易方达标普医疗保健美元汇A,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012865,易方达标普医疗保健美元汇C,标普,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
161126,易方达标普医疗保健人民币A,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
012864,易方达标普医疗保健人民币C,标普,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
011706,长信标普100等权重指数美元,标普,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
